id,text
1075084263144321024,"https://t.co/EMwh9IpvHq
13000人視聴してる。
#Judgement
#木村拓哉
#Twitch https://t.co/MONfPy66zj"
1074738016873197569,"RT @OFFICIAL_BDJP: PC向けオンラインゲーム 『黒い砂漠』

映像＆音声リマスタリング導入！

生オーケストラBGMの壮大な冒険
基本無料でゲームを超えた美しい世界を体験しよう！

#黒い砂漠"
1074241917221629952,"睡眠破壊神のｿｳﾙﾒｲﾄになれました(笑)
なにげに素材かなりいい♪
#gugushop https://t.co/M4p4JYjnPf"
1074151380846239744,フェイス初心者狩りでてるのね
1073892849802833920,@zonbikun5 西野カナですなｗ
1073872578589077504,"@zonbikun5 鬼畜な人はVRと自作マシン作ってるみたいですよ
( ﾟДﾟ)笑https://t.co/qgq44tMGKp"
1073868764397989888,@zonbikun5 さすがリーダー( ﾟДﾟ)♪
1073783494289981441,#新しいプロフィール画像 https://t.co/1oqFpl4nqa
1073670696461430784,NVIDIAとMicrosoftの相性最近悪いんだ。8年前はAMDとMicrosoft相性悪くてAMDの演算にMicrosoftが合わせてなかった感じだったから今回もMicrosoft次第な気がする。#NVIDIA
1073530660092956672,"なんか初めて見るのアイテムだ  #Mirrativ で配信中！  https://t.co/NDk0UfbHwm
#ヴェンデッタ"
